timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610622816777,98,HTTP Request - Repubblica Home,200,OK,Thread Group - Slow Low 2-1,text,true,,1968024,135,1,4,http://192.168.56.101/RepubblicaHome.html,49,0,34
1610622816777,114,HTTP Request - Repubblica Home,200,OK,Thread Group - Slow High 1-1,text,true,,1968024,135,1,4,http://192.168.56.101/RepubblicaHome.html,49,0,34
1610622816777,124,HTTP Request - YouTube Home,200,OK,Thread Group - Fast Low 4-1,text,true,,4159636,132,1,4,http://192.168.56.101/YouTubeHome.html,49,0,34
1610622816777,128,HTTP Request - YouTube Home,200,OK,Thread Group - Fast High 3-1,text,true,,4159636,132,1,4,http://192.168.56.101/YouTubeHome.html,49,0,34
1610622817197,28,HTTP Request - Wikipedia Home,200,OK,Thread Group - Fast Low 4-2,text,true,,71559,134,2,8,http://192.168.56.101/WikipediaHome.html,25,0,3
1610622817160,83,HTTP Request - Repubblica Home,200,OK,Thread Group - Slow High 1-2,text,true,,1968024,135,2,8,http://192.168.56.101/RepubblicaHome.html,6,0,3
1610622817195,105,HTTP Request - YouTube Home,200,OK,Thread Group - Fast High 3-2,text,true,,4159636,132,2,8,http://192.168.56.101/YouTubeHome.html,14,0,5
1610622817180,124,HTTP Request - YouTube Home,200,OK,Thread Group - Slow Low 2-2,text,true,,4159636,132,2,8,http://192.168.56.101/YouTubeHome.html,13,0,3
1610622817650,18,HTTP Request - Repubblica Home,200,OK,Thread Group - Slow High 1-3,text,true,,1968024,135,3,12,http://192.168.56.101/RepubblicaHome.html,2,0,1
1610622817679,18,HTTP Request - Repubblica Home,200,OK,Thread Group - Fast High 3-3,text,true,,1968024,135,3,12,http://192.168.56.101/RepubblicaHome.html,2,0,1
1610622817697,5,HTTP Request - Wikipedia Home,200,OK,Thread Group - Slow Low 2-3,text,true,,71559,134,3,12,http://192.168.56.101/WikipediaHome.html,5,0,0
1610622817704,21,HTTP Request - Repubblica Home,200,OK,Thread Group - Fast Low 4-3,text,true,,1968024,135,3,12,http://192.168.56.101/RepubblicaHome.html,3,0,1
1610622818147,6,HTTP Request - Wikipedia Home,200,OK,Thread Group - Slow High 1-4,text,true,,71559,134,4,16,http://192.168.56.101/WikipediaHome.html,5,0,2
1610622818180,4,HTTP Request - Wikipedia Home,200,OK,Thread Group - Slow Low 2-4,text,true,,71559,134,4,16,http://192.168.56.101/WikipediaHome.html,4,0,1
1610622818168,26,HTTP Request - Repubblica Home,200,OK,Thread Group - Fast High 3-4,text,true,,1968024,135,4,16,http://192.168.56.101/RepubblicaHome.html,2,0,1
1610622818211,3,HTTP Request - Wikipedia Home,200,OK,Thread Group - Fast Low 4-4,text,true,,71559,134,4,16,http://192.168.56.101/WikipediaHome.html,3,0,1
1610622818661,29,HTTP Request - Repubblica Home,200,OK,Thread Group - Slow Low 2-5,text,true,,1968024,135,5,20,http://192.168.56.101/RepubblicaHome.html,2,0,0
1610622818699,9,HTTP Request - Wikipedia Home,200,OK,Thread Group - Fast Low 4-5,text,true,,71559,134,5,20,http://192.168.56.101/WikipediaHome.html,6,0,3
1610622818651,61,HTTP Request - YouTube Home,200,OK,Thread Group - Slow High 1-5,text,true,,4159636,132,5,20,http://192.168.56.101/YouTubeHome.html,2,0,1
1610622818684,57,HTTP Request - YouTube Home,200,OK,Thread Group - Fast High 3-5,text,true,,4159636,132,5,20,http://192.168.56.101/YouTubeHome.html,6,0,2
1610622819147,17,HTTP Request - Repubblica Home,200,OK,Thread Group - Slow High 1-6,text,true,,1968024,135,6,24,http://192.168.56.101/RepubblicaHome.html,3,0,1
1610622819166,3,HTTP Request - Wikipedia Home,200,OK,Thread Group - Slow Low 2-6,text,true,,71559,134,6,24,http://192.168.56.101/WikipediaHome.html,2,0,1
1610622819196,3,HTTP Request - Wikipedia Home,200,OK,Thread Group - Fast High 3-6,text,true,,71559,134,6,24,http://192.168.56.101/WikipediaHome.html,2,0,1
1610622819207,31,HTTP Request - YouTube Home,200,OK,Thread Group - Fast Low 4-6,text,true,,4159636,132,6,24,http://192.168.56.101/YouTubeHome.html,3,0,1
1610622819638,19,HTTP Request - Repubblica Home,200,OK,Thread Group - Slow High 1-7,text,true,,1968024,135,7,28,http://192.168.56.101/RepubblicaHome.html,4,0,2
1610622819664,2,HTTP Request - Wikipedia Home,200,OK,Thread Group - Slow Low 2-7,text,true,,71559,134,7,28,http://192.168.56.101/WikipediaHome.html,2,0,0
1610622819693,71,HTTP Request - Repubblica Home,200,OK,Thread Group - Fast High 3-7,text,true,,1968024,135,7,28,http://192.168.56.101/RepubblicaHome.html,7,0,1
1610622819699,74,HTTP Request - Repubblica Home,200,OK,Thread Group - Fast Low 4-7,text,true,,1968024,135,7,28,http://192.168.56.101/RepubblicaHome.html,15,0,3
1610622819691,106,HTTP Request - YouTube Pag1,200,OK,Thread Group - Fast High 3-1,text,true,,5096467,132,7,28,http://192.168.56.101/YouTubePag1.html,2,0,0
1610622819702,104,HTTP Request - YouTube Pag1,200,OK,Thread Group - Fast Low 4-1,text,true,,5096467,132,7,28,http://192.168.56.101/YouTubePag1.html,8,0,0
1610622820151,7,HTTP Request - Wikipedia Home,200,OK,Thread Group - Slow High 1-8,text,true,,71559,134,8,32,http://192.168.56.101/WikipediaHome.html,5,0,3
1610622820204,10,HTTP Request - Wikipedia Home,200,OK,Thread Group - Fast High 3-8,text,true,,71559,134,8,32,http://192.168.56.101/WikipediaHome.html,6,0,2
1610622820214,9,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Fast Low 4-2,text,true,,158621,134,8,32,http://192.168.56.101/WikipediaPag1.html,7,0,0
1610622820179,63,HTTP Request - Repubblica Home,200,OK,Thread Group - Slow Low 2-8,text,true,,1968024,135,8,32,http://192.168.56.101/RepubblicaHome.html,5,0,2
1610622820213,41,HTTP Request - Repubblica Home,200,OK,Thread Group - Fast Low 4-8,text,true,,1968024,135,8,32,http://192.168.56.101/RepubblicaHome.html,6,0,3
1610622820184,72,HTTP Request - YouTube Pag1,200,OK,Thread Group - Fast High 3-2,text,true,,5096467,132,8,32,http://192.168.56.101/YouTubePag1.html,7,0,0
1610622820654,2,HTTP Request - Wikipedia Home,200,OK,Thread Group - Slow High 1-9,text,true,,71559,134,9,36,http://192.168.56.101/WikipediaHome.html,2,0,1
1610622820678,15,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Fast High 3-3,text,true,,1549877,135,9,36,http://192.168.56.101/RepubblicaPag1.html,1,0,0
1610622820692,16,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Fast Low 4-3,text,true,,1549877,135,9,36,http://192.168.56.101/RepubblicaPag1.html,1,0,0
1610622820681,38,HTTP Request - Repubblica Home,200,OK,Thread Group - Fast High 3-9,text,true,,1968024,135,9,36,http://192.168.56.101/RepubblicaHome.html,4,0,2
1610622820696,59,HTTP Request - YouTube Home,200,OK,Thread Group - Fast Low 4-9,text,true,,4159636,132,9,36,http://192.168.56.101/YouTubeHome.html,7,0,2
1610622820695,68,HTTP Request - YouTube Home,200,OK,Thread Group - Slow Low 2-9,text,true,,4159636,132,9,36,http://192.168.56.101/YouTubeHome.html,12,0,2
1610622821137,34,HTTP Request - YouTube Home,200,OK,Thread Group - Slow High 1-10,text,true,,4159636,132,10,40,http://192.168.56.101/YouTubeHome.html,3,0,2
1610622821178,3,HTTP Request - Wikipedia Home,200,OK,Thread Group - Slow Low 2-10,text,true,,71559,134,10,40,http://192.168.56.101/WikipediaHome.html,3,0,1
1610622821180,33,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Fast High 3-4,text,true,,1549877,135,10,40,http://192.168.56.101/RepubblicaPag1.html,2,0,0
1610622821193,21,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Fast Low 4-4,text,true,,158621,134,10,40,http://192.168.56.101/WikipediaPag1.html,12,0,0
1610622821189,45,HTTP Request - Repubblica Home,200,OK,Thread Group - Fast Low 4-10,text,true,,1968024,135,10,40,http://192.168.56.101/RepubblicaHome.html,5,0,2
1610622821186,58,HTTP Request - YouTube Home,200,OK,Thread Group - Fast High 3-10,text,true,,4159636,132,10,40,http://192.168.56.101/YouTubeHome.html,8,0,4
1610622821643,43,HTTP Request - YouTube Home,200,OK,Thread Group - Slow High 1-11,text,true,,4159636,132,11,42,http://192.168.56.101/YouTubeHome.html,2,0,1
1610622821704,2,HTTP Request - Wikipedia Home,200,OK,Thread Group - Fast High 3-11,text,true,,71559,134,11,42,http://192.168.56.101/WikipediaHome.html,2,0,0
1610622821671,36,HTTP Request - YouTube Pag1,200,OK,Thread Group - Fast High 3-5,text,true,,5096467,132,11,42,http://192.168.56.101/YouTubePag1.html,1,0,0
1610622821706,2,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Fast Low 4-5,text,true,,158621,134,10,42,http://192.168.56.101/WikipediaPag1.html,1,0,0
1610622822148,51,HTTP Request - YouTube Home,200,OK,Thread Group - Slow High 1-12,text,true,,4159636,132,12,44,http://192.168.56.101/YouTubeHome.html,4,0,2
1610622822192,17,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Fast High 3-6,text,true,,158621,134,12,44,http://192.168.56.101/WikipediaPag1.html,6,0,0
1610622822197,16,HTTP Request - Wikipedia Home,200,OK,Thread Group - Fast High 3-12,text,true,,71559,134,12,44,http://192.168.56.101/WikipediaHome.html,16,0,2
1610622822187,41,HTTP Request - YouTube Pag1,200,OK,Thread Group - Fast Low 4-6,text,true,,5096467,132,10,44,http://192.168.56.101/YouTubePag1.html,2,0,0
1610622822650,15,HTTP Request - Repubblica Home,200,OK,Thread Group - Slow High 1-13,text,true,,1968024,135,13,46,http://192.168.56.101/RepubblicaHome.html,3,0,2
1610622822662,17,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Slow Low 2-1,text,true,,1549878,135,10,46,http://192.168.56.101/RepubblicaPag1.html,4,0,1
1610622822674,5,HTTP Request - Wikipedia Home,200,OK,Thread Group - Fast High 3-13,text,true,,71559,134,13,46,http://192.168.56.101/WikipediaHome.html,5,0,3
1610622822684,42,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Fast Low 4-7,text,true,,1549877,135,10,46,http://192.168.56.101/RepubblicaPag1.html,1,0,0
1610622822700,33,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Fast High 3-7,text,true,,1549877,135,13,46,http://192.168.56.101/RepubblicaPag1.html,13,0,0
1610622822687,62,HTTP Request - YouTube Pag2,200,OK,Thread Group - Fast Low 4-1,text,true,,4036890,132,10,46,http://192.168.56.101/YouTubePag2.html,3,0,0
1610622822691,59,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Slow High 1-1,text,true,,1549878,135,13,46,http://192.168.56.101/RepubblicaPag1.html,25,0,2
1610622822692,78,HTTP Request - YouTube Pag2,200,OK,Thread Group - Fast High 3-1,text,true,,4036890,132,13,46,http://192.168.56.101/YouTubePag2.html,53,0,0
1610622823172,10,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Fast High 3-8,text,true,,158621,134,14,48,http://192.168.56.101/WikipediaPag1.html,9,0,0
1610622823196,17,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Fast Low 4-8,text,true,,1549877,135,10,48,http://192.168.56.101/RepubblicaPag1.html,5,0,0
1610622823192,22,HTTP Request - Wikipedia Pag2,200,OK,Thread Group - Fast Low 4-2,text,true,,131694,134,10,48,http://192.168.56.101/WikipediaPag2.html,19,0,0
1610622823162,91,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Slow High 1-2,text,true,,1549878,135,14,48,http://192.168.56.101/RepubblicaPag1.html,16,0,1
1610622823182,71,HTTP Request - Repubblica Home,200,OK,Thread Group - Fast High 3-14,text,true,,1968024,135,14,48,http://192.168.56.101/RepubblicaHome.html,6,0,2
1610622823150,125,HTTP Request - YouTube Home,200,OK,Thread Group - Slow High 1-14,text,true,,4159636,132,14,48,http://192.168.56.101/YouTubeHome.html,4,0,2
1610622823172,128,HTTP Request - YouTube Pag2,200,OK,Thread Group - Fast High 3-2,text,true,,4036890,132,14,48,http://192.168.56.101/YouTubePag2.html,7,0,0
1610622823181,122,HTTP Request - YouTube Pag1,200,OK,Thread Group - Slow Low 2-2,text,true,,5096468,132,10,48,http://192.168.56.101/YouTubePag1.html,2,0,1
1610622823638,16,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Slow High 1-3,text,true,,1549878,135,15,50,http://192.168.56.101/RepubblicaPag1.html,4,0,2
1610622823679,11,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Fast High 3-9,text,true,,1549877,135,15,50,http://192.168.56.101/RepubblicaPag1.html,2,0,0
1610622823676,15,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Slow Low 2-3,text,true,,158622,134,10,50,http://192.168.56.101/WikipediaPag1.html,5,0,1
1610622823679,27,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Fast High 3-3,text,true,,1542999,135,15,50,http://192.168.56.101/RepubblicaPag2.html,4,0,0
1610622823666,49,HTTP Request - Repubblica Home,200,OK,Thread Group - Slow High 1-15,text,true,,1968024,135,15,50,http://192.168.56.101/RepubblicaHome.html,2,0,1
1610622823687,34,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Fast Low 4-3,text,true,,1542999,135,10,50,http://192.168.56.101/RepubblicaPag2.html,18,0,0
1610622823692,70,HTTP Request - YouTube Home,200,OK,Thread Group - Fast High 3-15,text,true,,4159636,132,15,50,http://192.168.56.101/YouTubeHome.html,16,0,2
1610622823703,67,HTTP Request - YouTube Pag1,200,OK,Thread Group - Fast Low 4-9,text,true,,5096467,132,10,50,http://192.168.56.101/YouTubePag1.html,19,0,0
1610622824146,8,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Slow High 1-4,text,true,,158622,134,16,52,http://192.168.56.101/WikipediaPag1.html,5,0,2
1610622824169,4,HTTP Request - Wikipedia Home,200,OK,Thread Group - Slow High 1-16,text,true,,71559,134,16,52,http://192.168.56.101/WikipediaHome.html,4,0,2
1610622824173,6,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Slow Low 2-4,text,true,,158622,134,10,52,http://192.168.56.101/WikipediaPag1.html,3,0,2
1610622824180,26,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Fast High 3-4,text,true,,1542999,135,16,52,http://192.168.56.101/RepubblicaPag2.html,3,0,0
1610622824189,21,HTTP Request - Wikipedia Pag2,200,OK,Thread Group - Fast Low 4-4,text,true,,131694,134,10,52,http://192.168.56.101/WikipediaPag2.html,17,0,0
1610622824196,22,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Fast Low 4-10,text,true,,1549877,135,10,52,http://192.168.56.101/RepubblicaPag1.html,7,0,0
1610622824177,59,HTTP Request - Repubblica Home,200,OK,Thread Group - Fast High 3-16,text,true,,1968024,135,16,52,http://192.168.56.101/RepubblicaHome.html,3,0,1
1610622824191,78,HTTP Request - YouTube Pag1,200,OK,Thread Group - Fast High 3-10,text,true,,5096467,132,16,52,http://192.168.56.101/YouTubePag1.html,19,0,0
1610622824684,5,HTTP Request - Wikipedia Pag2,200,OK,Thread Group - Fast Low 4-5,text,true,,131694,134,10,54,http://192.168.56.101/WikipediaPag2.html,2,0,0
1610622824673,37,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Slow Low 2-5,text,true,,1549878,135,10,54,http://192.168.56.101/RepubblicaPag1.html,6,0,2
1610622824704,17,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Fast High 3-11,text,true,,158621,134,17,54,http://192.168.56.101/WikipediaPag1.html,7,0,0
1610622824654,100,HTTP Request - YouTube Home,200,OK,Thread Group - Slow High 1-17,text,true,,4159636,132,17,54,http://192.168.56.101/YouTubeHome.html,2,0,1
1610622824677,90,HTTP Request - YouTube Pag2,200,OK,Thread Group - Fast High 3-5,text,true,,4036890,132,17,54,http://192.168.56.101/YouTubePag2.html,2,0,0
1610622824648,124,HTTP Request - YouTube Pag1,200,OK,Thread Group - Slow High 1-5,text,true,,5096468,132,17,54,http://192.168.56.101/YouTubePag1.html,4,0,2
1610622824691,89,HTTP Request - Repubblica Home,200,OK,Thread Group - Fast High 3-17,text,true,,1968024,135,17,54,http://192.168.56.101/RepubblicaHome.html,41,0,2
1610622825141,6,HTTP Request - Wikipedia Home,200,OK,Thread Group - Slow High 1-18,text,true,,71559,134,18,56,http://192.168.56.101/WikipediaHome.html,5,0,2
1610622825155,11,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Slow High 1-6,text,true,,1549878,135,18,56,http://192.168.56.101/RepubblicaPag1.html,2,0,1
1610622825169,3,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Slow Low 2-6,text,true,,158622,134,10,56,http://192.168.56.101/WikipediaPag1.html,2,0,1
1610622825177,16,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Fast High 3-12,text,true,,158621,134,18,56,http://192.168.56.101/WikipediaPag1.html,14,0,0
1610622825174,21,HTTP Request - Wikipedia Pag2,200,OK,Thread Group - Fast High 3-6,text,true,,131694,134,18,56,http://192.168.56.101/WikipediaPag2.html,17,0,0
1610622825199,40,HTTP Request - YouTube Pag2,200,OK,Thread Group - Fast Low 4-6,text,true,,4036890,132,10,56,http://192.168.56.101/YouTubePag2.html,1,0,0
1610622825191,65,HTTP Request - YouTube Home,200,OK,Thread Group - Fast High 3-18,text,true,,4159636,132,18,56,http://192.168.56.101/YouTubeHome.html,2,0,1
1610622825636,6,HTTP Request - Wikipedia Home,200,OK,Thread Group - Slow High 1-19,text,true,,71559,134,19,58,http://192.168.56.101/WikipediaHome.html,5,0,2
1610622825653,20,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Slow High 1-7,text,true,,1549878,135,19,58,http://192.168.56.101/RepubblicaPag1.html,4,0,2
1610622825676,4,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Fast High 3-13,text,true,,158621,134,19,58,http://192.168.56.101/WikipediaPag1.html,2,0,0
1610622825678,4,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Slow Low 2-7,text,true,,158622,134,10,58,http://192.168.56.101/WikipediaPag1.html,3,0,2
1610622825686,33,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Fast High 3-7,text,true,,1542999,135,19,58,http://192.168.56.101/RepubblicaPag2.html,14,0,0
1610622825675,63,HTTP Request - YouTube Pag3,200,OK,Thread Group - Fast High 3-1,text,true,,4093143,132,19,58,http://192.168.56.101/YouTubePag3.html,1,0,0
1610622825696,46,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Fast Low 4-7,text,true,,1542999,135,10,58,http://192.168.56.101/RepubblicaPag2.html,11,0,0
1610622825688,75,HTTP Request - Repubblica Home,200,OK,Thread Group - Fast High 3-19,text,true,,1968024,135,19,58,http://192.168.56.101/RepubblicaHome.html,14,0,4
1610622825687,76,HTTP Request - YouTube Pag3,200,OK,Thread Group - Fast Low 4-1,text,true,,4093143,132,10,58,http://192.168.56.101/YouTubePag3.html,8,0,0
1610622826165,24,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Slow High 1-8,text,true,,158622,134,20,60,http://192.168.56.101/WikipediaPag1.html,21,0,11
1610622826187,4,HTTP Request - Wikipedia Pag2,200,OK,Thread Group - Fast High 3-8,text,true,,131694,134,20,60,http://192.168.56.101/WikipediaPag2.html,3,0,0
1610622826198,4,HTTP Request - Wikipedia Pag3,200,OK,Thread Group - Fast Low 4-2,text,true,,135089,134,10,60,http://192.168.56.101/WikipediaPag3.html,3,0,0
1610622826197,21,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Fast Low 4-8,text,true,,1542999,135,10,60,http://192.168.56.101/RepubblicaPag2.html,4,0,0
1610622826176,75,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Slow Low 2-8,text,true,,1549878,135,10,60,http://192.168.56.101/RepubblicaPag1.html,11,0,1
1610622826178,92,HTTP Request - YouTube Pag3,200,OK,Thread Group - Fast High 3-2,text,true,,4093143,132,20,60,http://192.168.56.101/YouTubePag3.html,13,0,0
1610622826173,104,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Fast High 3-14,text,true,,1549877,135,20,60,http://192.168.56.101/RepubblicaPag1.html,67,0,0
1610622826190,90,HTTP Request - YouTube Home,200,OK,Thread Group - Fast High 3-20,text,true,,4159636,132,20,60,http://192.168.56.101/YouTubeHome.html,2,0,1
1610622826147,141,HTTP Request - YouTube Home,200,OK,Thread Group - Slow High 1-20,text,true,,4159636,132,20,60,http://192.168.56.101/YouTubeHome.html,5,0,2
1610622826648,6,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Slow High 1-9,text,true,,158622,134,20,60,http://192.168.56.101/WikipediaPag1.html,4,0,2
1610622826694,35,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Fast High 3-9,text,true,,1542999,135,20,60,http://192.168.56.101/RepubblicaPag2.html,8,0,0
1610622826688,51,HTTP Request - Repubblica Pag3,200,OK,Thread Group - Fast High 3-3,text,true,,1517285,135,20,60,http://192.168.56.101/RepubblicaPag3.html,4,0,0
1610622826706,37,HTTP Request - Repubblica Pag3,200,OK,Thread Group - Fast Low 4-3,text,true,,1517285,135,10,60,http://192.168.56.101/RepubblicaPag3.html,3,0,0
1610622826693,79,HTTP Request - YouTube Pag2,200,OK,Thread Group - Fast Low 4-9,text,true,,4036890,132,10,60,http://192.168.56.101/YouTubePag2.html,2,0,0
1610622826670,106,HTTP Request - YouTube Pag1,200,OK,Thread Group - Slow Low 2-9,text,true,,5096468,132,10,60,http://192.168.56.101/YouTubePag1.html,2,0,1
1610622826679,98,HTTP Request - YouTube Pag1,200,OK,Thread Group - Fast High 3-15,text,true,,5096467,132,20,60,http://192.168.56.101/YouTubePag1.html,1,0,0
1610622827127,35,HTTP Request - YouTube Pag1,200,OK,Thread Group - Slow High 1-10,text,true,,5096468,132,20,60,http://192.168.56.101/YouTubePag1.html,6,0,3
1610622827173,11,HTTP Request - Repubblica Pag3,200,OK,Thread Group - Fast High 3-4,text,true,,1517285,135,20,60,http://192.168.56.101/RepubblicaPag3.html,1,0,0
1610622827186,9,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Fast High 3-16,text,true,,1549877,135,20,60,http://192.168.56.101/RepubblicaPag1.html,1,0,0
1610622827200,12,HTTP Request - Wikipedia Pag3,200,OK,Thread Group - Fast Low 4-4,text,true,,135089,134,10,60,http://192.168.56.101/WikipediaPag3.html,6,0,0
1610622827193,22,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Slow Low 2-10,text,true,,158622,134,10,60,http://192.168.56.101/WikipediaPag1.html,11,0,2
1610622827210,13,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Fast Low 4-10,text,true,,1542999,135,10,60,http://192.168.56.101/RepubblicaPag2.html,3,0,0
1610622827193,38,HTTP Request - YouTube Pag2,200,OK,Thread Group - Fast High 3-10,text,true,,4036890,132,20,60,http://192.168.56.101/YouTubePag2.html,2,0,0
1610622827642,39,HTTP Request - YouTube Pag1,200,OK,Thread Group - Slow High 1-11,text,true,,5096468,132,20,60,http://192.168.56.101/YouTubePag1.html,5,0,2
1610622827696,2,HTTP Request - Wikipedia Pag3,200,OK,Thread Group - Fast Low 4-5,text,true,,135089,134,10,60,http://192.168.56.101/WikipediaPag3.html,1,0,0
1610622827704,3,HTTP Request - Wikipedia Pag2,200,OK,Thread Group - Fast High 3-11,text,true,,131694,134,20,60,http://192.168.56.101/WikipediaPag2.html,2,0,0
1610622827697,12,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Fast High 3-17,text,true,,1549877,135,20,60,http://192.168.56.101/RepubblicaPag1.html,1,0,0
1610622827699,31,HTTP Request - YouTube Pag3,200,OK,Thread Group - Fast High 3-5,text,true,,4093143,132,20,60,http://192.168.56.101/YouTubePag3.html,4,0,0
1610622828163,2,HTTP Request - Wikipedia Pag3,200,OK,Thread Group - Fast High 3-6,text,true,,135089,134,20,60,http://192.168.56.101/WikipediaPag3.html,1,0,0
1610622828188,10,HTTP Request - Wikipedia Pag2,200,OK,Thread Group - Fast High 3-12,text,true,,131694,134,20,60,http://192.168.56.101/WikipediaPag2.html,4,0,0
1610622828149,55,HTTP Request - YouTube Pag1,200,OK,Thread Group - Slow High 1-12,text,true,,5096468,132,20,60,http://192.168.56.101/YouTubePag1.html,3,0,2
1610622828170,45,HTTP Request - YouTube Pag3,200,OK,Thread Group - Fast Low 4-6,text,true,,4093143,132,10,60,http://192.168.56.101/YouTubePag3.html,1,0,0
1610622828187,50,HTTP Request - YouTube Pag1,200,OK,Thread Group - Fast High 3-18,text,true,,5096467,132,20,60,http://192.168.56.101/YouTubePag1.html,11,0,0
1610622828695,5,HTTP Request - Wikipedia Pag2,200,OK,Thread Group - Fast High 3-13,text,true,,131694,134,20,60,http://192.168.56.101/WikipediaPag2.html,5,0,0
1610622828686,23,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Fast High 3-19,text,true,,1549877,135,20,60,http://192.168.56.101/RepubblicaPag1.html,8,0,0
1610622828664,49,HTTP Request - Repubblica Pag3,200,OK,Thread Group - Fast High 3-7,text,true,,1517285,135,20,60,http://192.168.56.101/RepubblicaPag3.html,5,0,0
1610622828674,53,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Slow Low 2-1,text,true,,1543000,135,10,60,http://192.168.56.101/RepubblicaPag2.html,4,0,2
1610622828713,25,HTTP Request - Repubblica Pag3,200,OK,Thread Group - Fast Low 4-7,text,true,,1517285,135,10,60,http://192.168.56.101/RepubblicaPag3.html,1,0,0
1610622828661,79,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Slow High 1-1,text,true,,1543000,135,20,60,http://192.168.56.101/RepubblicaPag2.html,4,0,2
1610622828671,81,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Slow High 1-13,text,true,,1549878,135,20,60,http://192.168.56.101/RepubblicaPag1.html,12,0,2
1610622828686,81,HTTP Request - YouTube Pag4,200,OK,Thread Group - Fast High 3-1,text,true,,4061363,132,20,60,http://192.168.56.101/YouTubePag4.html,7,0,0
1610622828685,88,HTTP Request - YouTube Pag4,200,OK,Thread Group - Fast Low 4-1,text,true,,4061363,132,10,60,http://192.168.56.101/YouTubePag4.html,23,0,0
1610622829141,29,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Slow High 1-2,text,true,,1543000,135,20,60,http://192.168.56.101/RepubblicaPag2.html,6,0,3
1610622829190,18,HTTP Request - Wikipedia Pag3,200,OK,Thread Group - Fast High 3-8,text,true,,135089,134,20,60,http://192.168.56.101/WikipediaPag3.html,11,0,0
1610622829181,52,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Fast High 3-14,text,true,,1542999,135,20,60,http://192.168.56.101/RepubblicaPag2.html,3,0,0
1610622829211,26,HTTP Request - Wikipedia Pag4,200,OK,Thread Group - Fast Low 4-2,text,true,,202562,134,10,60,http://192.168.56.101/WikipediaPag4.html,18,0,0
1610622829200,37,HTTP Request - Repubblica Pag3,200,OK,Thread Group - Fast Low 4-8,text,true,,1517285,135,10,60,http://192.168.56.101/RepubblicaPag3.html,5,0,0
1610622829138,122,HTTP Request - YouTube Pag1,200,OK,Thread Group - Slow High 1-14,text,true,,5096468,132,20,60,http://192.168.56.101/YouTubePag1.html,5,0,2
1610622829179,94,HTTP Request - YouTube Pag4,200,OK,Thread Group - Fast High 3-2,text,true,,4061363,132,20,60,http://192.168.56.101/YouTubePag4.html,2,0,0
1610622829180,99,HTTP Request - YouTube Pag1,200,OK,Thread Group - Fast High 3-20,text,true,,5096467,132,20,60,http://192.168.56.101/YouTubePag1.html,1,0,0
